v  floorFr roll rest | meanOut tawIn moving@8s | dist
4 0.35 0 0.78 | 1.17 0.00 2.3 | {"0":3,"2":2,"3":1}
4 0.35 0 0.9 | 1.67 0.00 2.8 | {"0":3,"2":2,"6":1}
4 0.35 0.03 0.78 | 0.00 1.00 1.0 | {"0":6}
4 0.35 0.03 0.9 | 0.00 1.00 1.0 | {"0":6}
4 0.35 0.06 0.78 | 0.00 1.00 1.0 | {"0":6}
4 0.35 0.06 0.9 | 0.00 1.00 1.0 | {"0":6}
4 0.55 0 0.78 | 0.83 0.00 3.0 | {"0":3,"1":2,"3":1}
4 0.55 0 0.9 | 0.67 0.00 2.3 | {"0":3,"1":2,"2":1}
4 0.55 0.03 0.78 | 0.00 1.00 1.0 | {"0":6}
4 0.55 0.03 0.9 | 0.00 1.00 1.0 | {"0":6}
4 0.55 0.06 0.78 | 0.00 1.00 1.0 | {"0":6}
4 0.55 0.06 0.9 | 0.00 1.00 1.0 | {"0":6}
5 0.35 0 0.78 | 2.00 0.00 3.2 | {"0":3,"3":2,"6":1}
5 0.35 0 0.9 | 1.50 0.00 2.5 | {"0":3,"1":1,"3":1,"5":1}
5 0.35 0.03 0.78 | 0.00 1.00 2.3 | {"0":6}
5 0.35 0.03 0.9 | 0.00 1.00 2.5 | {"0":6}
5 0.35 0.06 0.78 | 0.00 1.00 1.0 | {"0":6}
5 0.35 0.06 0.9 | 0.00 1.00 1.0 | {"0":6}
5 0.55 0 0.78 | 1.50 0.00 3.0 | {"0":3,"2":1,"3":1,"4":1}
5 0.55 0 0.9 | 1.50 0.00 2.7 | {"0":3,"2":1,"3":1,"4":1}
5 0.55 0.03 0.78 | 0.00 1.00 1.7 | {"0":6}
5 0.55 0.03 0.9 | 0.00 1.00 2.0 | {"0":6}
5 0.55 0.06 0.78 | 0.00 1.00 1.0 | {"0":6}
5 0.55 0.06 0.9 | 0.00 1.00 1.0 | {"0":6}
6 0.35 0 0.78 | 2.67 0.00 4.0 | {"0":1,"2":2,"3":1,"4":1,"5":1}
6 0.35 0 0.9 | 2.33 0.00 4.0 | {"0":1,"2":3,"4":2}
6 0.35 0.03 0.78 | 0.00 1.00 3.2 | {"0":6}
6 0.35 0.03 0.9 | 0.00 1.00 3.7 | {"0":6}
6 0.35 0.06 0.78 | 0.00 1.00 2.2 | {"0":6}
6 0.35 0.06 0.9 | 0.00 1.00 2.2 | {"0":6}
6 0.55 0 0.78 | 1.17 0.00 2.2 | {"0":3,"1":1,"2":1,"4":1}
6 0.55 0 0.9 | 1.33 0.00 2.3 | {"0":3,"1":1,"2":1,"5":1}
6 0.55 0.03 0.78 | 0.00 1.00 4.3 | {"0":6}
6 0.55 0.03 0.9 | 0.00 1.00 2.8 | {"0":6}
6 0.55 0.06 0.78 | 0.00 1.00 1.5 | {"0":6}
6 0.55 0.06 0.9 | 0.00 1.00 1.8 | {"0":6}
