v  floorFr roll rest | meanOut tawIn moving@8s | dist
4 0.35 0 0.78 | 3.17 0.00 5.8 | {"2":1,"3":3,"4":2}
4 0.35 0.01 0.78 | 2.50 0.00 3.2 | {"1":1,"2":1,"3":4}
4 0.35 0.02 0.78 | 2.17 0.00 0.0 | {"2":5,"3":1}
4 0.35 0.04 0.78 | 0.00 0.33 0.0 | {"0":6}
4 0.55 0 0.78 | 2.17 0.00 3.5 | {"2":5,"3":1}
4 0.55 0.01 0.78 | 2.50 0.00 3.3 | {"1":1,"2":1,"3":4}
4 0.55 0.02 0.78 | 1.33 0.00 0.0 | {"1":4,"2":2}
4 0.55 0.04 0.78 | 0.00 1.00 0.0 | {"0":6}
5 0.35 0 0.78 | 4.00 0.00 6.7 | {"3":1,"4":4,"5":1}
5 0.35 0.01 0.78 | 3.00 0.00 3.8 | {"2":1,"3":4,"4":1}
5 0.35 0.02 0.78 | 2.50 0.00 0.0 | {"2":3,"3":3}
5 0.35 0.04 0.78 | 1.00 0.17 0.0 | {"0":1,"1":4,"2":1}
5 0.55 0 0.78 | 4.33 0.00 6.5 | {"2":1,"4":1,"5":4}
5 0.55 0.01 0.78 | 3.83 0.00 4.8 | {"3":2,"4":3,"5":1}
5 0.55 0.02 0.78 | 3.67 0.00 0.0 | {"3":2,"4":4}
5 0.55 0.04 0.78 | 0.50 0.17 0.0 | {"0":3,"1":3}
6 0.35 0 0.78 | 4.33 0.00 6.2 | {"3":1,"4":3,"5":1,"6":1}
6 0.35 0.01 0.78 | 2.67 0.00 3.2 | {"1":1,"2":1,"3":3,"4":1}
6 0.35 0.02 0.78 | 2.83 0.00 0.0 | {"1":1,"2":2,"3":2,"6":1}
6 0.35 0.04 0.78 | 2.00 0.00 0.0 | {"1":2,"2":2,"3":2}
6 0.55 0 0.78 | 3.17 0.00 5.3 | {"2":1,"3":4,"5":1}
6 0.55 0.01 0.78 | 4.83 0.00 5.5 | {"3":1,"4":2,"5":1,"6":1,"7":1}
6 0.55 0.02 0.78 | 4.67 0.17 0.0 | {"3":1,"4":2,"5":1,"6":2}
6 0.55 0.04 0.78 | 1.33 0.00 0.0 | {"1":4,"2":2}
